link,name,genre,director,year,appearance
https://kinobar.vip/24613-baki-hanma-1-sezon-1-12-seriya.html,Баки Ханма 1 сезон 1-12 серия,"Сериалы, Боевики, Мультфильмы, Спорт, Аниме",Тосикиро Хирано,2021,2 октября 2021
https://kinobar.vip/24539-agent-vremeni-1-sezon-1-12-seriya.html,Агент времени 1 сезон,"Сериалы, Мультфильмы, Фантастика, Детектив, Аниме",Ли Хаолин,2021,28 сентября 2021
https://kinobar.vip/24532-ty-zhe-lyubish-mamochku-udary-kotoroy-byut-po-ploschadi-dvoynym-uronom-1-sezon-1-12-seriya.html,"Ты же любишь мамочку, удары которой бьют по","Комедии, Сериалы, Мелодрамы, Приключения, Мультфильмы, Фэнтези, Аниме","Ёсиаки Ивасаки, Цунэо Томинага, Ясуси Мураяма",2019,28 сентября 2021
https://kinobar.vip/24131-zvezdnye-voyny-videnie-1-sezon.html,Звёздные войны: Видение 1 сезон 1-9 серия,"Боевики, Мультфильмы, Фантастика, Фэнтези, Аниме","Жаклин Лопес, Джош Раймс, Джеймс М. Во",2021,23 сентября 2021
https://kinobar.vip/24490-dlya-tebya-bessmertnyy-1-sezon-1-20-seriya.html,"Для тебя, Бессмертный 1 сезон 1-20 серия","Сериалы, Приключения, Мультфильмы, Фэнтези, Аниме","Масахико Мурата, Томио Ямаути, Фудзий Такафуми",2021,23 сентября 2021
https://kinobar.vip/24465-neobychnoe-taksi-1-sezon-1-13-seriya.html,Необычное такси 1 сезон 1-13 серия,"Сериалы, Мультфильмы, Детектив, Криминал, Аниме",Баку Киносита,2021,21 сентября 2021
https://kinobar.vip/24454-moya-geroyskaya-akademiya-film-dva-geroya.html,Моя геройская академия. Фильм: Два героя,"Комедии, Боевики, Мультфильмы, Фантастика, Аниме, Фильмы 2018",Кэндзи Нагасаки,2018,20 сентября 2021
https://kinobar.vip/24453-moya-geroyskaya-akademiya-film-2-geroi-vosstanut.html,Моя геройская академия. Фильм 2: Герои восстанут,"Комедии, Боевики, Мультфильмы, Фантастика, Аниме, Фильмы 2019",Кэндзи Нагасаки,2019,20 сентября 2021
https://kinobar.vip/24448-tokiyskie-mstiteli-1-sezon.html,Токийские мстители 1 сезон,"Сериалы, Драмы, Боевики, Мультфильмы, Фантастика, Криминал, Аниме","Масато Тамагава, Рюхэй Аояги, Кацуя Асано",2021,20 сентября 2021
https://kinobar.vip/24455-moya-geroyskaya-akademiya-vse-serii-po-poryadku.html,Моя геройская академия (все серии по порядку),"Комедии, Сериалы, Боевики, Мультфильмы, Фантастика, Аниме","Кэндзи Нагасаки, Томо Окубо, Сэцуми Докава",2016,20 сентября 2021
https://kinobar.vip/24452-moya-geroyskaya-akademiya-film-3-missiya-mirovyh-geroev.html,Моя геройская академия. Фильм 3: Миссия мировых,"Комедии, Фильмы 2021, Боевики, Мультфильмы, Фантастика, Скоро в кино, Аниме",Кэндзи Нагасаки,2021,20 сентября 2021
https://kinobar.vip/24431-lyubimyy-vo-frankse-1-sezon-1-24-seriya.html,Любимый во Франксе 1 сезон 1-24 серия,"Сериалы, Боевики, Мультфильмы, Фантастика, Аниме","Тосифуми Акаи, Ацуси Нисигори, Тэнсаи Окамура",2018,18 сентября 2021
https://kinobar.vip/24367-chelovek-benzopila-1-sezon.html,Человек-бензопила 1 сезон,"Сериалы, Боевики, Мультфильмы, Фэнтези, Ужасы, Аниме","Рю Накаяма, Масато Накадзоно",Жанр,11 сентября 2021
https://kinobar.vip/15535-animatrica-v1.html,Аниматрица,"Драмы, Боевики, Мультфильмы, Фантастика, Аниме","Питер Чунг, Энди Джонс, Ёсиаки Кавадзири",2003,10 сентября 2021
https://kinobar.vip/24313-serebryanaya-lozhka-12-sezon.html,"Серебряная ложка 1,2 сезон","Комедии, Сериалы, Мультфильмы, Аниме","Томохико Ито, Котоми Дэаи, Пён Ган-хо",2013,4 сентября 2021
https://kinobar.vip/24304-spriggan-1-sezon.html,Спригган 1 сезон,"Сериалы, Боевики, Мультфильмы, Фантастика, Аниме",Хироси Кобаяси,2022,4 сентября 2021
https://kinobar.vip/24295-doktor-stoun-12-sezon.html,"Доктор Стоун 1,2 сезон","Сериалы, Боевики, Приключения, Мультфильмы, Фантастика, Аниме",Синъя Иино,2019,1 сентября 2021
https://kinobar.vip/24154-tokiyskiy-gul-vse-serii-po-poryadku.html,Токийский гуль (все серии по порядку),"Сериалы, Драмы, Боевики, Триллеры, Мультфильмы, Фэнтези, Ужасы, Аниме",Сюхэй Морита,2014,23 августа 2021
https://kinobar.vip/24105-evangelion-30101-kak-to-raz.html,Евангелион 3.0+1.01: Как-то раз,"Фильмы 2021, Драмы, Боевики, Мультфильмы, Фантастика, Скоро в кино, Аниме","Хидэаки Анно, Махиро Маэда, Кацуити Накаяма",2021,15 августа 2021
https://kinobar.vip/24059-reinkarnaciya-bezrabotnogo-1-sezon-1-11-seriya.html,Реинкарнация безработного 1 сезон 1-11 серия,"Сериалы, Приключения, Мультфильмы, Фэнтези, Аниме",Манабу Окамото,2021,5 августа 2021
https://kinobar.vip/23459-obitel-zla-beskonechnaya-tma-1-sezon.html,Обитель зла: Бесконечная тьма 1 сезон 1-4 серия,"Сериалы, Боевики, Мультфильмы, Фантастика, Ужасы, Аниме",Хироюки Кобаяси,2021,12 июля 2021
https://kinobar.vip/23837-drakon-i-princessa-s-vesnushkami.html,Красавица и дракон,"Фильмы 2021, Мультфильмы, Фантастика, Скоро в кино, Аниме",Мамору Хосода,2021,2 июля 2021
https://kinobar.vip/23757-ee-zavetnoe-zhelanie.html,Её заветное желание,"Мелодрамы, Драмы, Мультфильмы, Скоро в кино, Аниме, Фильмы 2020",Тамура Котаро,2020,18 июня 2021
https://kinobar.vip/23725-godzilla-singulyarnost-1-sezon-1-12-seriya.html,Годзилла: Сингулярность 1 сезон 1-13 серия,"Сериалы, Боевики, Мультфильмы, Фантастика, Аниме",Ацуси Такахаси,2021,17 июня 2021
https://kinobar.vip/23691-istrebitel-demonov-poezd-beskonechnyy.html,Истребитель демонов: Поезд «Бесконечный»,"Боевики, Мультфильмы, Фэнтези, Аниме, Фильмы 2020",Харуо Сотодзаки,2020,2 июня 2021
https://kinobar.vip/22790-vayolet-evergarden-film-v1.html,Вайолет Эвергарден. Фильм,"Мелодрамы, Драмы, Мультфильмы, Фэнтези, Аниме, Фильмы 2020",Таити Исидатэ,2020,2 июня 2021
https://kinobar.vip/22738-parad-smerti.html,Парад смерти (все серии по порядку),"Сериалы, Драмы, Мультфильмы, Фэнтези, Аниме",Юдзуру Татикава,2015,18 мая 2021
https://kinobar.vip/23513-yasuke-1-sezon-1-6-seriya.html,Ясукэ 1 сезон 1-6 серия,"Сериалы, Боевики, Мультфильмы, Фантастика, Фэнтези, Аниме",Лешон Томас,2021,30 апреля 2021
https://kinobar.vip/12178-boruto-1-sezon-v9.html,Боруто 1 сезон 1-200 серия,"Комедии, Сериалы, Приключения, Фэнтези, Аниме","Нориюки Абэ, Хироюки Ямасита",2017,25 апреля 2021
https://kinobar.vip/22891-lyubit-ne-lyubit-v1.html,Любит — не любит,"Мелодрамы, Мультфильмы, Аниме, Фильмы 2020",Тосимаса Куроянаги,2020,20 апреля 2021
https://kinobar.vip/23375-v-poiskah-uchenic-dlya-vedmy.html,Дореми: В поисках волшебства,"Комедии, Мультфильмы, Фэнтези, Скоро в кино, Аниме, Фильмы 2020","Ю Катамани, Дзюнъити Сато",2020,31 марта 2021
https://kinobar.vip/21143-na-tvoey-volne-osedlat-volnu-s-toboy-v2.html,На твоей волне / Оседлать волну с тобой,"Мелодрамы, Драмы, Мультфильмы, Фэнтези, Аниме, Фильмы 2019",Масааки Юаса,2019,31 декабря 2020
https://kinobar.vip/22716-prezident-gornichnaya-vse-serii-po-poryadku.html,Президент — горничная! (все серии по порядку),"Комедии, Сериалы, Мелодрамы, Мультфильмы, Аниме","Хироаки Сакурай, Ёсинобу Токумото, Масато Дзимбо",2010,25 декабря 2020
https://kinobar.vip/22654-planetarianka-zvezdnyy-strannik.html,Планетарианка: Звёздный странник,"Мультфильмы, Фантастика, Аниме, Фильмы 2016",Наокацу Цуда,2016,18 декабря 2020
https://kinobar.vip/22655-planetarianka-mechta-odinokoy-zvezdochki-vse-serii-po-poryadku.html,Планетарианка: Мечта одинокой звёздочки (все,"Сериалы, Мультфильмы, Фантастика, Аниме",Наокацу Цуда,2016,18 декабря 2020
https://kinobar.vip/22626-barakamon-vse-serii-po-poryadku.html,Баракамон (все серии по порядку),"Комедии, Сериалы, Мультфильмы, Аниме",Масаки Татибана,2014,15 декабря 2020
https://kinobar.vip/22679-lyupen-iii-pervyy-v1.html,Люпен III: Первый,"Комедии, Боевики, Приключения, Мультфильмы, Криминал, Аниме, Фильмы 2019",Такаси Ямадзаки,2019,14 декабря 2020
https://kinobar.vip/22556-bakuman-vse-serii-po-poryadku.html,Бакуман. (все серии по порядку),"Комедии, Сериалы, Драмы, Мультфильмы, Аниме","Нориаки Акитая, Кэнъити Касаи",2010,10 декабря 2020
https://kinobar.vip/22522-raduga-semero-iz-shestoy-kamery-vse-serii-po-poryadku.html,Радуга: Семеро из шестой камеры (все серии по,"Сериалы, Драмы, Мультфильмы, Криминал, Аниме",Хироси Кодзина,2010,5 декабря 2020
https://kinobar.vip/22414-klinok-rassekayuschiy-demonov-vse-serii-po-poryadku.html,"Клинок, рассекающий демонов (все серии по порядку)","Сериалы, Боевики, Мультфильмы, Фэнтези, Аниме",Харуо Сотодзаки,2019,25 ноября 2020
